title,firstname,middlename,lastname,name_suffix,nickname,party,state,district,in_office,gender,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,youtube_url,facebook_id,official_rss,senate_class,birthdate,imageURL
Rep,Alcee,L.,Hastings,Sr.,,D,FL,20,1,M,202-225-1313,202-225-1171,http://www.alceehastings.house.gov,http://alceehastings.house.gov/contact/,2353 Rayburn House Office Building,H000324,26798,H2FL23021,400170,N00002884,,http://www.opencongress.org/wiki/Alcee_Hastings,http://youtube.com/RepAlceeHastings,95696782238,,,9/5/1936,http://upload.wikimedia.org/wikipedia/commons/3/37/Alcee_Hastings_Portrait_c111-112th_Congress.jpg
Rep,Allen,,Boyd,Jr.,,D,FL,2,0,M,,,http://boyd.house.gov,,,B000716,729,H6FL00046,400044,N00002743,,http://www.opencongress.org/wiki/Allen_Boyd,,,,,6/6/1945,http://media.washingtonpost.com/wp-srv/politics/congress/members/photos/228/B000716.jpg
Rep,Allen,,West,,,R,FL,22,0,M,202-225-3026,202-225-8398,http://west.house.gov/,,1708 Longworth House Office Building,W000807,124348,H8FL22038,412413,N00029131,AllenWest,http://www.opencongress.org/wiki/Allen_West,http://youtube.com/AllenWestFl,AllenWestFL,,,2/7/1961,"http://upload.wikimedia.org/wikipedia/commons/9/95/Allen_West,_Official_Portrait,_112th_Congress.jpg"
Rep,Allyson,Y.,Schwartz,,,D,PA,13,1,F,202-225-6111,202-226-0611,http://www.house.gov/schwartz,http://schwartz.house.gov/serving-you/email-me,1227 Longworth House Office Building,S001162,5239,H4PA13124,400647,N00001579,,http://www.opencongress.org/wiki/Allyson_Schwartz,http://youtube.com/repallysonschwartz,2.44001E+14,,,10/3/1948,http://upload.wikimedia.org/wikipedia/commons/1/10/Allyson_Schwartz_official_photo.jpg
Rep,Ami,,Bera,,,D,CA,7,1,M,202-225-5716,202-226-1298,http://bera.house.gov,http://bera.house.gov/contact,1408 Longworth House Office Building,B001287,120030,H0CA03078,412512,N00030717,RepBera,,http://youtube.com/repamibera,5.28662E+14,,,3/2/1965,http://upload.wikimedia.org/wikipedia/commons/5/53/Ami_Bera_official_photo.jpg
Sen,Amy,Jean,Klobuchar,,,D,MN,Senior Seat,1,F,202-224-3244,202-228-2186,http://www.klobuchar.senate.gov,http://www.klobuchar.senate.gov/public/contact-amy,302 Hart Senate Office Building,K000367,65092,S6MN00267,412242,N00027500,,http://www.opencongress.org/wiki/Amy_Klobuchar,http://youtube.com/senatorklobuchar,,,I,5/25/1960,http://upload.wikimedia.org/wikipedia/commons/f/f9/Amy_Klobuchar.jpg
Rep,Ander,,Crenshaw,,,R,FL,4,1,M,202-225-2501,202-225-2504,http://crenshaw.house.gov,https://forms.house.gov/wyr/welcome.shtml,440 Cannon House Office Building,C001045,31130,H0FL04066,400086,N00012739,AnderCrenshaw,http://www.opencongress.org/wiki/Ander_Crenshaw,http://youtube.com/RepAnderCrenshaw,2.00388E+11,,,9/1/1944,http://upload.wikimedia.org/wikipedia/commons/9/9a/AnderCrenshaw_Official_Head_Shot_-_2009.jpg
Rep,André,D.,Carson,,,D,IN,7,1,M,202-225-4011,202-225-5633,http://carson.house.gov,https://forms.house.gov/carson/webforms/issue_subscribe.htm,2453 Rayburn House Office Building,C001072,84917,H8IN07184,412258,N00029513,RepAndreCarson,http://www.opencongress.org/wiki/Andre_Carson,http://youtube.com/repandrecarson,1.23884E+14,,,10/16/1974,http://upload.wikimedia.org/wikipedia/commons/8/8a/Andre_Carson_2009.jpg
Rep,Andy,,Harris,,,R,MD,1,1,M,202-225-5311,202-225-0254,http://harris.house.gov,http://harris.house.gov/contact-me/email-me,1533 Longworth House Office Building,H001052,19157,H8MD01094,412434,N00029147,RepAndyHarrisMD,http://www.opencongress.org/wiki/Andy_Harris,http://youtube.com/RepAndyHarris,5.08913E+14,,,1/25/1957,"http://upload.wikimedia.org/wikipedia/commons/6/68/Andy_Harris,_Official_Portrait,_112th_Congress.jpg"
Sen,Angus,,King,,,I,ME,Junior Seat,1,M,202-224-5344,202-224-1946,http://www.king.senate.gov,http://www.king.senate.gov/contact,359 Dirksen Senate Office Building,K000383,22381,S2ME00109,412545,N00034580,SenAngusKing,,http://youtube.com/SenatorAngusKing,1.42803E+14,,I,3/31/1944,"http://upload.wikimedia.org/wikipedia/commons/a/a7/Angus_King,_official_portrait,_113th_Congress.jpg"
Rep,Anh,,Cao,,Joseph,R,LA,2,0,M,,,http://josephcao.house.gov,,,C001079,93967,H8LA02112,412268,N00030339,AnhJosephCao,http://www.opencongress.org/wiki/Anh_Cao,http://youtube.com/AnhJosephCao,,,,3/13/1967,http://goldsea.com/Text/images/5080.jpg
Rep,Ann,,Kirkpatrick,,,D,AZ,1,1,F,202-225-3361,202-225-3462,http://kirkpatrick.house.gov,http://kirkpatrick.house.gov/contact/email-me,330 Cannon House Office Building,K000368,28425,H8AZ01104,412286,N00029260,RepKirkpatrick,http://www.opencongress.org/wiki/Ann_Kirkpatrick,http://youtube.com/repannkirkpatrick,1.52494E+14,,,3/24/1950,"http://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Ann_Marie_Buerkle,_Official_Portrait,_112th_Congress.jpg/220px-Ann_Marie_Buerkle,_Official_Portrait,_112th_Congress.jpg"
Rep,Ann,M.,Kuster,,,D,NH,2,1,F,202-225-5206,202-225-2946,http://kuster.house.gov,http://kuster.house.gov/contact/email-me,137 Cannon House Office Building,K000382,122256,H0NH02181,412557,N00030875,RepAnnieKuster,,http://youtube.com/RepKuster,1.15543E+14,,,9/5/1956,http://upload.wikimedia.org/wikipedia/commons/a/a6/Ann_Kirkpatrick.jpg
Rep,Ann,,Wagner,,,R,MO,2,1,F,202-225-1621,,http://wagner.house.gov,http://wagner.house.gov/contact/email-me,435 Cannon House Office Building,W000812,136083,H2MO02102,412548,N00033106,RepAnnWagner,,,2.15485E+14,,,9/13/1962,"http://upload.wikimedia.org/wikipedia/commons/4/42/Anne_McLane_Kuster,_Official_Portrait,_113th_Congress.jpg"
Rep,Ann Marie,,Buerkle,,,R,NY,25,0,F,202-225-3701,202-225-4042,http://buerkle.house.gov/,,1630 Longworth House Office Building,B001276,127047,H0NY25078,412456,N00031640,RepBuerkle,http://www.opencongress.org/wiki/Ann_Marie_Buerkle,http://youtube.com/RepBuerkle,1.12696E+14,,,5/8/1951,http://upload.wikimedia.org/wikipedia/commons/6/67/Ann_Wagner_113th_Congress_official_photo.jpg
Rep,Anna,G.,Eshoo,,,D,CA,18,1,F,202-225-8104,202-225-8890,http://eshoo.house.gov,https://forms.house.gov/eshoo/webforms/issue_subscribe.htm,241 Cannon House Office Building,E000215,26741,H8CA12098,400124,N00007335,RepAnnaEshoo,http://www.opencongress.org/wiki/Anna_Eshoo,http://youtube.com/RepAnnaEshoo,1.7498E+11,,,12/13/1942,http://upload.wikimedia.org/wikipedia/commons/0/03/Rep_Anna_Eshoo.jpg
Rep,Anthony,David,Weiner,,,D,NY,9,0,M,,,http://www.house.gov/weiner,,,W000792,23162,H8NY09091,400426,N00001110,repweiner,http://www.opencongress.org/wiki/Anthony_David_Weiner,http://youtube.com/AskAnthonyWeiner,AnthonyDWeiner,,,9/4/1964,http://static1.businessinsider.com/image/51ef218d69bedd097d000005/anthony-weiner-is-finished--here-are-the-candidates-who-can-be-the-next-nyc-mayor.jpg
Sen,Arlen,,Specter,,,D,PA,Senior Seat,0,M,,,http://specter.senate.gov/,,,S000709,53340,S6PA00100,300092,N00001604,SenArlenSpecter,http://www.opencongress.org/wiki/Arlen_Specter,http://youtube.com/SenatorArlenSpecter,,,III,2/12/1930,"http://upload.wikimedia.org/wikipedia/commons/d/d0/Arlen_Specter,_official_Senate_photo_portrait.jpg"
Rep,Artur,,Davis,,,D,AL,7,0,M,,,http://www.house.gov/arturdavis,,,D000602,27560,H0AL07060,400092,N00009570,ArturDavis,http://www.opencongress.org/wiki/Artur_Davis,,,,,10/9/1967,http://images.politico.com/global/2012/08/120828_artur_davis_ap_328.jpg
Rep,Austin,Austin,Scott,,,R,GA,8,1,M,202-225-6531,202-225-3013,http://austinscott.house.gov,https://forms.house.gov/austinscott/webforms/zipauthen_contact.shtml,516 Cannon House Office Building,S001189,11812,H0GA08099,412417,N00032457,AustinScottGA08,http://www.opencongress.org/wiki/Austin_Scott,http://youtube.com/RepAustinScott,1.31178E+14,,,12/10/1969,"http://upload.wikimedia.org/wikipedia/commons/8/83/Austin_Scott,_Official_Portrait,_112th_Congress.jpg"
Sen,Barack,H.,Obama,Jr.,,D,IL,Junior Seat,0,M,,,http://obama.senate.gov/,,,O000167,9490,S4IL00180,400629,N00009638,BarackObama,http://www.opencongress.org/wiki/Barack_Obama,,,,III,8/4/1961,http://upload.wikimedia.org/wikipedia/commons/8/8d/President_Barack_Obama.jpg
Sen,Barbara,,Boxer,,,D,CA,Junior Seat,1,F,202-224-3553,202-224-0454,http://www.boxer.senate.gov,http://www.boxer.senate.gov/en/contact/,112 Hart Senate Office Building,B000711,53274,S2CA00286,300011,N00006692,SenatorBoxer,http://www.opencongress.org/wiki/Barbara_Boxer,http://youtube.com/SenatorBoxer,1.16513E+14,,III,11/11/1940,http://upload.wikimedia.org/wikipedia/commons/7/70/Barbara_Boxer_2005.jpg
Rep,Barbara,L.,Cubin,,,R,WY,0,0,F,,,http://www.house.gov/cubin,,,C000962,22044,H4WY00055,400088,N00006242,,http://www.opencongress.org/wiki/Barbara_Cubin,,,,,11/30/1946,http://upload.wikimedia.org/wikipedia/commons/thumb/6/69/BarbCubin.jpg/220px-BarbCubin.jpg
Rep,Barbara,J.,Lee,,,D,CA,13,1,F,202-225-2661,202-225-9817,http://lee.house.gov,"http://lee.house.gov/?sectionid=44&amp;sectiontree=18,44",2267 Rayburn House Office Building,L000551,8315,H8CA09060,400237,N00008046,RepBarbaraLee,http://www.opencongress.org/wiki/Barbara_Lee,http://youtube.com/RepLee,92190287786,,,7/16/1946,http://www.eastportlandblog.com/wp-content/uploads/2013/08/cbc_chair_barbara_lee__d-ca_.jpg
Sen,Barbara,A.,Mikulski,,,D,MD,Senior Seat,1,F,202-224-4654,202-224-8858,http://www.mikulski.senate.gov,http://www.mikulski.senate.gov/contact/,503 Hart Senate Office Building,M000702,53304,S6MD00140,300073,N00001945,SenatorBarb,http://www.opencongress.org/wiki/Barbara_Mikulski,http://youtube.com/senatormikulski,1.4289E+14,,III,7/20/1936,http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Barbara_Mikulski.jpg/611px-Barbara_Mikulski.jpg
Rep,Barney,,Frank,,,D,MA,4,0,M,202-225-5931,202-225-0182,http://www.house.gov/frank,http://www.house.gov/writerep,2252 Rayburn House Office Building,F000339,26897,H0MA04036,400140,N00000275,,http://www.opencongress.org/wiki/Barney_Frank,http://youtube.com/barneyfrank,barneyfrank,,,3/31/1940,http://upload.wikimedia.org/wikipedia/commons/2/26/Barney_Frank.jpg
Rep,Baron,P.,Hill,,,D,IN,9,0,M,,,http://baronhill.house.gov,,,H001030,18466,H8IN09032,400177,N00003875,,http://www.opencongress.org/wiki/Baron_Hill,http://youtube.com/CongressmanBaronHill,,,,6/23/1953,"http://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Baron_Hill,_official_110th_Congress_photo.jpg/220px-Baron_Hill,_official_110th_Congress_photo.jpg"
Rep,Bart,T.,Stupak,,,D,MI,1,0,M,,,http://www.house.gov/stupak,,,S001045,26912,H2MI01068,400391,N00004196,,http://www.opencongress.org/wiki/Bart_Stupak,http://youtube.com/BartStupak,,,,2/29/1952,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Bart_Stupak_official_portrait.jpg/220px-Bart_Stupak_official_portrait.jpg
Rep,Barton,Jennings,Gordon,,Bart,D,TN,6,0,M,,,http://gordon.house.gov,,,G000309,27071,H4TN04015,400155,N00003126,,http://www.opencongress.org/wiki/Bart_Gordon,http://youtube.com/repbartgordon,,,,1/24/1949,http://ec.europa.eu/research/social-sciences/images/events-216-pictures/11-hon-barton-gordon.jpg
Rep,Ben,Ben,Chandler,III,Ben,D,KY,6,0,M,202-225-4706,202-225-2122,http://chandler.house.gov,https://forms.house.gov/wyr/welcome.shtml,1504 Longworth House Office Building,C001058,1891,H4KY06072,400442,N00026591,,http://www.opencongress.org/wiki/Albert_Chandler,,,,,9/12/1959,http://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Benchandler.jpeg/220px-Benchandler.jpeg
Rep,Ben,Ray,Luján,Jr.,,D,NM,3,1,M,202-225-6190,202-226-1528,http://lujan.house.gov,https://forms.house.gov/lujan/contact-form.shtml,2446 Rayburn House Office Building,L000570,102842,H8NM03196,412293,N00029562,RepBenRayLujan,http://www.opencongress.org/wiki/Ben_Lujan,http://youtube.com/Repbenraylujan,1.12963E+11,,,6/7/1972,http://upload.wikimedia.org/wikipedia/commons/6/6b/Ben_Lujan_official_photo.jpg
Sen,Ben,E.,Nelson,,Ben,D,NE,Senior Seat,0,M,202-224-6551,202-228-0012,http://bennelson.senate.gov/,http://www.bennelson.senate.gov/contact-me.cfm,720 Hart Senate Office Building,N000180,21744,S6NE00095,300077,N00005329,SenBenNelson,http://www.opencongress.org/wiki/E._Benjamin_Nelson,http://youtube.com/SenBenNelson,senatorbennelson,,I,5/17/1941,http://upload.wikimedia.org/wikipedia/commons/2/2a/Ben_Nelson_official_photo.jpg
Rep,Ben,,Quayle,,,R,AZ,3,0,M,202-225-3361,202-225-3462,http://quayle.house.gov/,,1419 Longworth House Office Building,Q000024,123506,H0AZ03362,412398,N00031723,benquayle,http://www.opencongress.org/wiki/Ben_Quayle,http://youtube.com/repbenquayle,1.1994E+14,,,11/3/1976,"http://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Benjamin_Quayle,_Official_Portrait,_112th_Congress.JPG/220px-Benjamin_Quayle,_Official_Portrait,_112th_Congress.JPG"
Sen,Benjamin,L.,Cardin,,Ben,D,MD,Junior Seat,1,M,202-224-4524,202-224-1651,http://www.cardin.senate.gov,http://www.cardin.senate.gov/contact/,509 Hart Senate Office Building,C000141,26888,H6MD03177,400064,N00001955,SenatorCardin,http://www.opencongress.org/wiki/Benjamin_Cardin,http://youtube.com/senatorcardin,1.20422E+14,,I,10/5/1943,"http://upload.wikimedia.org/wikipedia/commons/2/25/Ben_Cardin,_official_Senate_photo_portrait.jpg"
Rep,Bennie,G.,Thompson,,,D,MS,2,1,M,202-225-5876,202-225-5898,http://benniethompson.house.gov,https://forms.house.gov/benniethompson/contact-form.shtml,2466 Rayburn House Office Building,T000193,26929,H4MS02068,400402,N00003288,BennieGThompson,http://www.opencongress.org/wiki/Bennie_Thompson,http://youtube.com/RepBennieThompson,7259193379,,,1/28/1948,"http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Bennie_Thompson,_official_portrait,_111th_Congress.jpg/220px-Bennie_Thompson,_official_portrait,_111th_Congress.jpg"
Sen,Bernard,,Sanders,,Bernie,I,VT,Junior Seat,1,M,202-224-5141,202-228-0776,http://www.sanders.senate.gov,http://www.sanders.senate.gov/contact/,332 Dirksen Senate Office Building,S000033,27110,H8VT01016,400357,N00000528,SenSanders,http://www.opencongress.org/wiki/Bernard_Sanders,http://youtube.com/senatorsanders,9124187907,,I,9/8/1941,http://upload.wikimedia.org/wikipedia/commons/d/de/Bernie_Sanders.jpg
Rep,Beto,,O'Rourke,,,D,TX,16,1,M,202-225-4831,,http://orourke.house.gov,http://orourke.house.gov/contact/email-me,1721 Longworth House Office Building,O000170,78533,H2TX16185,412575,N00033540,BetooRourkeTX16,,http://youtube.com/betoorourketx16,4.60776E+14,,,9/26/1972,https://www.betoforcongress.com/images/beto-o-rourke.jpg
Rep,Betsy,,Markey,,,D,CO,4,0,F,,,http://betsymarkey.house.gov,,,M001172,106225,H8CO04067,412298,N00029128,,http://www.opencongress.org/wiki/Betsy_Markey,http://youtube.com/RepBetsyMarkey,,,,4/27/1956,http://upload.wikimedia.org/wikipedia/commons/b/be/Rep_Betsy_Markey_Portrait.JPG
Rep,Betty,Louise,McCollum,,,D,MN,4,1,F,202-225-6631,202-225-1968,http://www.house.gov/mccollum,https://mccollum.house.gov/contact-me/email-me,1714 Longworth House Office Building,M001143,3812,H0MN04049,400259,N00012942,BettyMcCollum04,http://www.opencongress.org/wiki/Betty_McCollum,,1.53386E+14,,,7/12/1954,http://upload.wikimedia.org/wikipedia/commons/a/af/Mccollum-betty-rep.gif
Rep,Betty,,Sutton,,,D,OH,13,0,F,202-225-3401,202-225-2266,http://sutton.house.gov,http://sutton.house.gov/about/emailform.cfm,1519 Longworth House Office Building,S001174,8394,H6OH13133,412228,N00027901,,http://www.opencongress.org/wiki/Betty_Sutton,http://youtube.com/RepBettySutton,6871203036,,,7/31/1963,"http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Betty_Sutton,_official_110th_Congress_photo.jpg/220px-Betty_Sutton,_official_110th_Congress_photo.jpg"
Rep,Bill,,Cassidy,,Bill,R,LA,6,1,M,202-225-3901,202-225-7313,http://cassidy.house.gov,http://cassidy.house.gov/contact,1131 Longworth House Office Building,C001075,69494,H8LA00017,412269,N00030245,,http://www.opencongress.org/wiki/William_Cassidy,http://youtube.com/RepBillCassidy,,,,9/28/1957,"http://upload.wikimedia.org/wikipedia/commons/a/ab/Bill_Cassidy,_official_portrait,_112th_Congress.jpg"
Rep,Bill,,Foster,,,D,IL,11,1,M,202-225-3515,202-225-9420,http://foster.house.gov,http://foster.house.gov/contact/email-me,1224 Longworth House Office Building,F000454,101632,H8IL14067,412257,N00029139,RepBillFoster,http://www.opencongress.org/wiki/Bill_Foster,http://youtube.com/RepBillFoster,1.02918E+11,,,10/7/1955,"http://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Bill_Flores,_Official_Portrait,_112th_Congress.jpg/220px-Bill_Flores,_Official_Portrait,_112th_Congress.jpg"
Rep,Bill,,Flores,,,R,TX,17,1,M,202-225-6105,202-225-0350,http://flores.house.gov,http://flores.house.gov/contact/,1030 Longworth House Office Building,F000461,116906,H0TX17104,412480,N00031545,RepBillFlores,http://www.opencongress.org/wiki/Bill_Flores,http://youtube.com/RepBillFlores,1.46177E+14,,,2/25/1954,"http://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Bill_Foster,_Official_Portrait,_113th_Congress.jpg/220px-Bill_Foster,_Official_Portrait,_113th_Congress.jpg"
Rep,Bill,,Huizenga,,,R,MI,2,1,M,202-225-4401,202- 226-0779,http://huizenga.house.gov,http://huizenga.house.gov/contact/,1217 Longworth House Office Building,H001058,38351,H0MI02094,412437,N00030673,RepHuizenga,http://www.opencongress.org/wiki/Bill_Huizenga,http://youtube.com/RepHuizenga,1.45765E+14,,,1/31/1969,"http://upload.wikimedia.org/wikipedia/commons/c/c1/Bill_Huizenga,_Official_Portrait,_112th_Congress.jpg"
Rep,Bill,,Johnson,,,R,OH,6,1,M,202-225-5705,202-225-5907,http://billjohnson.house.gov,http://billjohnson.house.gov/contact/,1710 Longworth House Office Building,J000292,120649,H0OH06189,412460,N00032088,RepBillJohnson,http://www.opencongress.org/wiki/Bill_Johnson,http://youtube.com/RepBillJohnson,1.70477E+14,,,11/10/1954,http://revivalmag.com/sites/revivalmag.com/files/bill_johnson_0.jpg
Sen,Bill,,Nelson,Sr.,,D,FL,Senior Seat,1,M,202-224-5274,202-228-2183,http://www.billnelson.senate.gov,http://www.billnelson.senate.gov/contact/index.cfm,716 Hart Senate Office Building,N000032,1606,S8FL00166,300078,N00009926,SenBillNelson,http://www.opencongress.org/wiki/Bill_Nelson,http://youtube.com/senbillnelson,,,I,9/29/1942,http://upload.wikimedia.org/wikipedia/commons/2/23/Bill_Nelson.jpg
Rep,Bill,J.,Pascrell,Jr.,Bill,D,NJ,9,1,M,202-225-5751,202-225-5782,http://pascrell.house.gov,http://pascrell.house.gov/contact/,2370 Rayburn House Office Building,P000096,478,H6NJ08118,400309,N00000751,BillPascrell,http://www.opencongress.org/wiki/William_Pascrell,http://youtube.com/RepPascrell,3.03313E+11,,,1/25/1937,http://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Bill_pascrell_375.jpg/220px-Bill_pascrell_375.jpg
Rep,Bill,,Posey,,,R,FL,8,1,M,202-225-3671,202-225-3516,http://posey.house.gov,http://posey.house.gov/Contact/,120 Cannon House Office Building,P000599,24280,H8FL15107,412309,N00029662,CongBillPosey,http://www.opencongress.org/wiki/Bill_Posey,http://youtube.com/CongressmanPosey,1E+14,,,12/18/1947,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Bill_Posey.jpg/220px-Bill_Posey.jpg
Rep,Bill,,Shuster,,,R,PA,9,1,M,202-225-2431,202-225-2486,http://www.house.gov/shuster,http://shuster.house.gov/index.cfm?sectionid=58,2209 Rayburn House Office Building,S001154,55693,H2PA09035,409888,N00013770,RepBillShuster,http://www.opencongress.org/wiki/Bill_Shuster,http://youtube.com/repshuster,54386677806,,,1/10/1961,"http://upload.wikimedia.org/wikipedia/commons/0/02/Bill_Sali,_official_photo_portrait.jpg"
Rep,Bill,T.,Sali,,Bill,R,ID,1,0,M,,,http://sali.house.gov,,,S001167,2916,H6ID01177,412201,N00027644,,http://www.opencongress.org/wiki/William_Sali,,,,,2/17/1954,"http://upload.wikimedia.org/wikipedia/commons/1/12/Bill_Shuster,_official_photo_portrait,_2005.JPG"
Rep,Billy,,Long,,,R,MO,7,1,M,202-225-6536,202-225-5604,http://long.house.gov,http://long.house.gov/contact-billy/,1541 Longworth House Office Building,L000576,123401,H0MO07113,412445,N00030676,USRepLong,http://www.opencongress.org/wiki/Billy_Long,http://youtube.com/MOdistrict7,1.39631E+14,,,8/11/1955,"http://upload.wikimedia.org/wikipedia/commons/a/a0/Billy_Long,_Official_Portrait,_112th_Congress.jpg"
